Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,MACD_Signal
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,
Date,,,,,,,,,,
2010-06-29,1.5926669836044312,1.6666669845581055,1.1693329811096191,1.2666670083999634,281494500,,,,0.0,0.0
2010-06-30,1.5886670351028442,2.0280001163482666,1.553333044052124,1.7193330526351929,257806500,,,,-0.0003190842109528358,-6.381684219056716e-05
2010-07-01,1.4639999866485596,1.7280000448226929,1.3513330221176147,1.6666669845581055,123282000,,,,-0.010510392410064462,-0.002153131955765346
2010-07-02,1.2799999713897705,1.5399999618530273,1.24733304977417,1.5333329439163208,77097000,,,,-0.03305332292961305,-0.008333170150534887
2010-07-06,1.0740000009536743,1.3333330154418945,1.0553330183029175,1.3333330154418945,103003500,,,,-0.06677153311014905,-0.02002084274245772
2010-07-07,1.053333044052124,1.108667016029358,0.9986670017242432,1.0933330059051514,103825500,,,,-0.09407665123108977,-0.03483200444018413
2010-07-08,1.1640000343322754,1.1679999828338623,1.0379999876022339,1.0759999752044678,115671000,,,,-0.10556931547750037,-0.048979466647647386
2010-07-09,1.159999966621399,1.1933330297470093,1.1033329963684082,1.1720000505447388,60759000,,,,-0.11368956420045606,-0.061921486158209124
2010-07-12,1.136667013168335,1.2046669721603394,1.1333329677581787,1.196666955947876,33037500,,,,-0.12061729308563196,-0.0736606475436937
2010-07-13,1.2093329429626465,1.2426669597625732,1.1266670227050781,1.1593329906463623,40201500,,,,-0.11887373250682898,-0.08270326453632075
2010-07-14,1.3226670026779175,1.3433330059051514,1.184000015258789,1.1959999799728394,62928000,,,,-0.10711211495347928,-0.08758503461975246
2010-07-15,1.3259999752044678,1.4333330392837524,1.2666670083999634,1.329332947731018,56097000,,,,-0.0964106433929992,-0.08935015637440182
2010-07-16,1.3760000467300415,1.4199999570846558,1.3366669416427612,1.3799999952316284,39319500,,,,-0.08293899309265718,-0.08806792371805289
2010-07-19,1.4606670141220093,1.4833329916000366,1.3946670293807983,1.4246670007705688,37297500,,,,-0.064685047531575,-0.08339134848075731
2010-07-20,1.3533329963684082,1.4566669464111328,1.3366669416427612,1.4566669464111328,27379500,,,39.206236953882936,-0.05820862951925876,-0.07835480468845761
2010-07-21,1.3480000495910645,1.3933329582214355,1.2999999523162842,1.3773330450057983,18787500,,,39.159154250564605,-0.052896586893337316,-0.07326316112943355
2010-07-22,1.399999976158142,1.4166669845581055,1.3580000400543213,1.3666670322418213,14367000,,,46.915168114319506,-0.043983777737839125,-0.06740728445111467
2010-07-23,1.4193329811096191,1.4373329877853394,1.4040000438690186,1.4126670360565186,9804000,,,57.98317318857011,-0.03495733395620171,-0.060917294352132084
2010-07-26,1.3966670036315918,1.4333330392837524,1.3533329963684082,1.4333330392837524,13833000,,,73.40429634505095,-0.029295071829733565,-0.054592849847652385
2010-07-27,1.3700000047683716,1.4119999408721924,1.3506669998168945,1.3940000534057617,9295500,1.3247667014598847,,72.77088914128967,-0.02665226156213385,-0.04900473219054868
2010-07-28,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000,1.3142000019550324,,68.23266496666434,-0.023373898158912,-0.04387856538422135
2010-07-29,1.3566670417785645,1.3919999599456787,1.3333330154418945,1.3846670389175415,9240000,1.3026000022888184,,65.94602818232272,-0.022506664882232075,-0.0396041852838235
2010-07-30,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500,1.2958666503429412,,65.5209052183194,-0.023751219932703238,-0.03643359221359945
2010-08-02,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500,1.3016000032424926,,65.10873915140061,-0.01924379392972564,-0.03299563255682469
2010-08-03,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500,1.3210666537284852,,62.36806953669316,-0.010015404178346676,-0.028399586881129087
2010-08-04,1.4173330068588257,1.4786670207977295,1.3899999856948853,1.463333010673523,13695000,1.33926665186882,,57.469990150603536,-0.006340564601335252,-0.02398778242517032
2010-08-05,1.363332986831665,1.4366669654846191,1.3366669416427612,1.4359999895095825,11943000,1.3492332994937897,,48.970714986883415,-0.007696853543434745,-0.020729596648823206
2010-08-06,1.305999994277954,1.343999981880188,1.301332950592041,1.340000033378601,11128500,1.3565333008766174,,36.848019855274,-0.013245331709838215,-0.01923274366102621
2010-08-09,1.3066669702529907,1.3320000171661377,1.2966669797897339,1.3266669511795044,12190500,1.3650332987308502,,45.15240712236283,-0.017388279976563448,-0.018863850924133656
2010-08-10,1.2686669826507568,1.309999942779541,1.254667043685913,1.309999942779541,19219500,1.3680000007152557,,42.282760354530055,-0.023467360621309163,-0.01978455286356876
2010-08-11,1.1933330297470093,1.2586669921875,1.190000057220459,1.246000051498413,11964000,1.3615333020687104,,30.769193224767037,-0.03397228488377291,-0.02262209926760959
2010-08-12,1.1733330488204956,1.1933330297470093,1.1593329906463623,1.1866669654846191,10365000,1.3538999557495117,,27.137552234387627,-0.04341093017888631,-0.026779865449864937
2010-08-13,1.2213330268859863,1.2300000190734863,1.1773329973220825,1.2120000123977661,9510000,1.3461666047573089,,34.43783080539394,-0.04648211066209673,-0.030720314492311298
2010-08-16,1.2519999742507935,1.2533329725265503,1.2173329591751099,1.2300000190734863,7287000,1.3357332527637482,,39.60047840556134,-0.045912229363008095,-0.03375869746645066
2010-08-17,1.2766669988632202,1.2933330535888672,1.2519999742507935,1.2640000581741333,6718500,1.3318999528884887,,40.98744897347484,-0.04297478502155694,-0.03560191497747192
2010-08-18,1.2513329982757568,1.305999994277954,1.2400000095367432,1.305999994277954,9019500,1.3270666003227234,,40.940347783291635,-0.042204573290684166,-0.036922446640114376
2010-08-19,1.25266695022583,1.2833329439163208,1.222000002861023,1.2359999418258667,8686500,1.3196999490261079,,43.09733079030889,-0.04101375513183858,-0.03774070833845922
2010-08-20,1.273332953453064,1.2740000486373901,1.2339999675750732,1.2433329820632935,4440000,1.31239994764328,,38.12005811673396,-0.03796481466297141,-0.03778552960336166
2010-08-23,1.3420000076293945,1.3593330383300781,1.2666670083999634,1.2726670503616333,16321500,1.30966659784317,,38.120188122650895,-0.02966568245634016,-0.03616156017395736
2010-08-24,1.2799999713897705,1.3140000104904175,1.2633329629898071,1.2833329439163208,10096500,1.30516659617424,,36.96210903574657,-0.027771314730016483,-0.034483511085169186
2010-08-25,1.3266669511795044,1.3320000171661377,1.237333059310913,1.2773330211639404,7549500,1.302433294057846,,46.469911086983714,-0.022247919237789793,-0.03203639271569331
2010-08-26,1.3166669607162476,1.3513330221176147,1.3066669702529907,1.3259999752044678,6507000,1.3004332900047302,,51.129968402153125,-0.018464655122854445,-0.029322045197125536
2010-08-27,1.3133330345153809,1.324666976928711,1.2999999523162842,1.3166669607162476,5694000,1.2996332943439484,,50.70217907946092,-0.01555609011295589,-0.026568854180291607
2010-08-30,1.324666976928711,1.3459999561309814,1.307332992553711,1.3133330345153809,10992000,1.296133291721344,,56.249946782014874,-0.012195890324502523,-0.02369426140913379
2010-08-31,1.2986669540405273,1.3193329572677612,1.2886669635772705,1.3106670379638672,3016500,1.2878999888896943,,63.210671339314686,-0.011498346557398342,-0.0212550784387867
2010-09-01,1.363332986831665,1.3793330192565918,1.3066669702529907,1.3079999685287476,7423500,1.2851999878883362,,71.42844082408817,-0.00566225869319581,-0.018136514489668524
2010-09-02,1.4040000438690186,1.4160000085830688,1.3539999723434448,1.3580000400543213,7306500,1.287233340740204,,70.94790972309183,0.002218797701318165,-0.014065452051471188
2010-09-03,1.4033329486846924,1.4199999570846558,1.3773330450057983,1.391332983970642,6519000,1.2920999884605409,,68.63692270922465,0.00831491352047764,-0.009589378937081422
2010-09-07,1.369333028793335,1.399999976158142,1.3666670322418213,1.3739999532699585,3651000,1.295233291387558,,61.155549611075024,0.010284071466998723,-0.005614688856265393
2010-09-08,1.3933329582214355,1.3966670036315918,1.3733329772949219,1.3773330450057983,4326000,1.301466590166092,1.3222399759292602,67.14967318379452,0.013624185921164322,-0.0017669139007794503
2010-09-09,1.380666971206665,1.4033329486846924,1.3793330192565918,1.399999976158142,5643000,1.3108332872390747,1.317999975681305,65.04700164800053,0.015075431205487044,0.0016015551204738487
2010-09-10,1.3446669578552246,1.3953330516815186,1.3173329830169678,1.3833329677581787,5799000,1.3193999826908112,1.3131199741363526,58.09384917076301,0.01316885101895271,0.0039150143001696214
2010-09-13,1.3813329935073853,1.3933329582214355,1.3666670322418213,1.3926670551300049,5412000,1.327399981021881,1.311466634273529,54.81235197907207,0.014449945158234057,0.0060220004717825085
2010-09-14,1.4079999923706055,1.440000057220459,1.3686670064926147,1.369333028793335,9820500,1.3351999819278717,1.3140266346931457,67.1428325103648,0.017416261613617756,0.008300852700149559
2010-09-15,1.4653329849243164,1.4666670560836792,1.3860000371932983,1.3986669778823853,10269000,1.3446332812309265,1.3218532943725585,68.05547578949003,0.024115394862278317,0.011463761132575311
2010-09-16,1.3960000276565552,1.5440000295639038,1.3893330097198486,1.476667046546936,40267500,1.3518666326999664,1.3287066340446472,58.94734690958137,0.02355835002021367,0.013882678910102983
2010-09-17,1.348667025566101,1.4213329553604126,1.3200000524520874,1.401332974433899,17977500,1.35666663646698,1.3323999738693237,53.62524849946319,0.019077595632232658,0.01492166225452892
2010-09-20,1.4040000438690186,1.4233330488204956,1.343999981880188,1.378000020980835,14212500,1.3631999909877777,1.3372799754142761,57.46550244911072,0.019763654530403407,0.015890060709703818
2010-09-21,1.3846670389175415,1.4366669654846191,1.378000020980835,1.3926670551300049,11940000,1.365333342552185,1.3422399759292603,58.195728847648624,0.01853370421767986,0.016418789411299026
2010-09-22,1.324666976928711,1.3966670036315918,1.3200000524520874,1.391332983970642,14443500,1.3675666928291321,1.3445466566085815,46.28210065886301,0.012572527897004804,0.015649537108440182
2010-09-23,1.3040000200271606,1.3426669836044312,1.2999999523162842,1.3259999752044678,10021500,1.3664333462715148,1.3441733169555663,39.999957084481814,0.006110167802938937,0.013741663247339934
2010-09-24,1.340000033378601,1.3459999561309814,1.309999942779541,1.3300000429153442,8683500,1.3675999999046327,1.344453318119049,44.08469450401844,0.0038492295600911497,0.011763176509890179
2010-09-27,1.3686670064926147,1.3873330354690552,1.3366669416427612,1.3600000143051147,6279000,1.3703666985034944,1.3443066573143005,49.937167463835024,0.004320797401028198,0.010274700688117783
2010-09-28,1.4266669750213623,1.4326670169830322,1.3839999437332153,1.4026670455932617,18217500,1.3754666984081267,1.3436266565322876,52.95515389678383,0.009267797644499698,0.010073320079394167
2010-09-29,1.4653329849243164,1.4686670303344727,1.408666968345642,1.4126670360565186,29539500,1.3837999999523163,1.3458666563034059,57.17511014773516,0.016122504634982437,0.011283156990511821
2010-09-30,1.3606669902801514,1.476667046546936,1.3459999561309814,1.4666670560836792,32937000,1.3836667001247407,1.3461199951171876,51.21458229944795,0.012959845244116863,0.01161849464123283
2010-10-01,1.3733329772949219,1.3833329677581787,1.3539999723434448,1.3793330192565918,8965500,1.3821333467960357,1.3455866551399231,49.36974391367909,0.011344679782433253,0.011563731669472915
2010-10-04,1.3993330001831055,1.4113329648971558,1.3533329963684082,1.3619999885559082,9654000,1.3819333493709565,1.3451866555213927,49.31647999229836,0.01202402855672502,0.011655791046923337
2010-10-05,1.4079999923706055,1.418666958808899,1.4006669521331787,1.409999966621399,4980000,1.38386669754982,1.3454133152961731,45.102514973181876,0.013110639895623333,0.011946760816663337
2010-10-06,1.3639999628067017,1.4173330068588257,1.3546669483184814,1.4040000438690186,4701000,1.3824000477790832,1.3452933144569397,47.14284132932448,0.01030259069569528,0.011617926792469726
2010-10-07,1.3619999885559082,1.3760000467300415,1.3559999465942383,1.3713330030441284,2115000,1.3814666986465454,1.3449066543579102,51.295304984130205,0.007825601602290178,0.010859461754433817
2010-10-08,1.3619999885559082,1.3860000371932983,1.3593330383300781,1.3619999885559082,4017000,1.3823333501815795,1.345013313293457,45.428137350265594,0.0057957599866331755,0.00984672140087369
2010-10-11,1.3493330478668213,1.3799999952316284,1.3380000591278076,1.3626669645309448,2568000,1.3807333528995513,1.3454133152961731,46.09712272370673,0.0031289114865005185,0.008503159417999055
2010-10-12,1.3493330478668213,1.3519999980926514,1.335332989692688,1.3466670513153076,3660000,1.3778000056743622,1.3445066356658935,53.14084737941419,0.0010038431574905804,0.007003296165897361
2010-10-13,1.369333028793335,1.3899999856948853,1.3573329448699951,1.3760000467300415,4773000,1.373000007867813,1.3426266360282897,58.33331559380535,0.0009229038493272501,0.0057872177025833395
2010-10-14,1.3833329677581787,1.4019999504089355,1.3600000143051147,1.399999976158142,4422000,1.3723666548728943,1.3419466352462768,55.85582073442824,0.001965776686573495,0.005022929499381371
2010-10-15,1.369333028793335,1.3933329582214355,1.350000023841858,1.3926670551300049,4270500,1.373399955034256,1.3420666360855102,50.09371836984051,0.0016436360383704773,0.004347070807179192
2010-10-18,1.348667025566101,1.3760000467300415,1.3480000495910645,1.3680000305175781,2442000,1.37063330411911,1.3429199767112732,37.735772667071274,-0.0002760543114068703,0.00342244578346198
2010-10-19,1.3366669416427612,1.3606669902801514,1.3333330154418945,1.3466670513153076,3678000,1.3682332992553712,1.3435199761390686,27.91761751550513,-0.0027342109461552244,0.0021911144375385393
2010-10-20,1.3766670227050781,1.3793330192565918,1.3359999656677246,1.343999981880188,4687500,1.3708333015441894,1.345679976940155,53.52942970802751,-0.0014380683849766207,0.0014652778730355075
2010-10-21,1.3833329677581787,1.3966670036315918,1.363332986831665,1.3739999532699585,6256500,1.3747999489307403,1.3494799757003784,52.265866413120996,0.0001255724678748127,0.0011973367920033685
2010-10-22,1.3813329935073853,1.3953330516815186,1.3700000047683716,1.3786669969558716,2416500,1.3768665969371796,1.3536399745941161,45.42370888248119,0.0011896740793859717,0.0011958042494798892
2010-10-25,1.3899999856948853,1.3986669778823853,1.3819999694824219,1.3960000276565552,1777500,1.377933245897293,1.3570133137702942,45.42370888248119,0.0027011983759615,0.0014968830747762115
2010-10-26,1.4240000247955322,1.4579999446868896,1.3673330545425415,1.386667013168335,9913500,1.3777998983860016,1.360453314781189,66.07151182060801,0.006566912002379244,0.002510888860296818
2010-10-27,1.399999976158142,1.425333023071289,1.3766670227050781,1.4166669845581055,5347500,1.3745332479476928,1.3629199743270874,59.10545887065768,0.0076062346160781225,0.003529958011453079
